altitude_km,temperature_K,density_kgpm3
65.68,225.48205139171714,0.0001791763168454694
65.69,225.43704717519864,0.0001789462365590283
65.7,225.39204309836163,0.0001787164065843264
65.71000000000001,225.34703916120532,0.00017848682669802189
65.72,225.30203536372923,0.00017825749667693084
65.73,225.25703170593255,0.00017802841629802253
65.74,225.21202818781478,0.00017779958533842408
65.75,225.1670248093751,0.00017757100357541648
65.76,225.12202157061301,0.0001773426707864375
65.77,225.07701847152782,0.00017711458674907942
65.78,225.0320155121188,0.00017688675124108967
65.79,224.9870126923854,0.00017665916404037188
65.8,224.94201001232693,0.00017643182492498366
65.81,224.89700747194274,0.00017620473367313872
65.82000000000002,224.8520050712321,0.0001759778900632045
65.83,224.80700281019458,0.00017575129387370535
65.84,224.76200068882932,0.00017552494488331808
65.85,224.71699870713573,0.00017529884287087572
65.86,224.67199686511316,0.00017507298761536543
65.87,224.62699516276098,0.00017484737889592936
65.88,224.58199360007853,0.00017462201649186398
65.89,224.53699217706517,0.0001743969001826202
65.9,224.49199089372024,0.0001741720297478029
65.91,224.44698975004306,0.00017394740496717186
65.92,224.40198874603306,0.0001737230256206407
65.93,224.35698788168946,0.00017349889148827704
65.94,224.31198715701174,0.00017327500235030303
65.95,224.2669865719992,0.00017305135798709442
65.96000000000001,224.22198612665113,0.00017282795817918052
65.97,224.176985820967,0.00017260480270724548
65.98,224.13198565494608,0.00017238189135212632
65.99,224.08698562858774,0.00017215922389481376
66.0,224.04198574189132,0.00017193680011645248
66.01,223.99698599485617,0.00017171461979834018
66.02,223.95198638748164,0.00017149268272192826
66.03,223.90698691976706,0.00017127098866882162
66.04,223.86198759171188,0.00017104953742077847
66.05,223.81698840331532,0.00017082832875970952
66.06,223.77198935457676,0.00017060736246767914
66.07000000000002,223.72699044549557,0.00017038663832690475
66.08,223.68199167607122,0.0001701661561197572
66.09,223.63699304630288,0.00016994591562875867
66.1,223.59199455618995,0.00016972591663658547
66.11,223.54699620573177,0.0001695061589260661
66.12,223.50199799492776,0.00016928664228018224
66.13,223.4569999237772,0.00016906736648206744
66.14,223.41200199227947,0.0001688483313150081
66.15,223.36700420043388,0.00016862953656244286
66.16,223.32200654823987,0.0001684109820079633
66.17,223.27700903569672,0.0001681926674353123
66.18,223.23201166280376,0.00016797459262838532
66.19,223.1870144295604,0.00016775675737123043
66.2,223.14201733596593,0.00016753916144804671
66.21000000000001,223.09702038201976,0.0001673218046431862
66.22,223.05202356772125,0.0001671046867411523
66.23,223.00702689306962,0.0001668878075265998
66.24,222.9620303580644,0.00016667116678433625
66.25,222.9170339627048,0.00016645476429932003
66.26,222.87203770699026,0.00016623859985666115
66.27,222.8270415909201,0.00016602267324162138
66.28,222.78204561449363,0.00016580698423961375
66.29,222.7370497777102,0.00016559153263620238
66.3,222.69205408056928,0.00016537631821710329
66.31,222.6470585230701,0.00016516134076818308
66.32000000000002,222.60206310521195,0.00016494660007545912
66.33,222.5570678269944,0.0001647320959251015
66.34,222.51207268841662,0.00016451782810342894
66.35,222.467077689478,0.00016430379639691253
66.36,222.42208283017794,0.00016409000059217405
66.37,222.3770881105157,0.00016387644047598506
66.38,222.33209353049068,0.00016366311583526874
66.39,222.28709909010232,0.00016345002645709895
66.4,222.2421047893498,0.00016323717212869874
66.41,222.1971106282325,0.00016302455263744248
66.42,222.15211660674993,0.0001628121677708555
66.43,222.10712272490127,0.00016260001731661198
66.44,222.06212898268598,0.00016238810106253732
66.45,222.01713538010335,0.00016217641879660635
66.46000000000001,221.97214191715267,0.00016196497030694393
66.47,221.92714859383346,0.00016175375538182607
66.48,221.88215541014492,0.00016154277380967674
66.49,221.83716236608646,0.0001613320253790712
66.5,221.79216946165747,0.00016112150987873382
66.51,221.74717669685722,0.00016091122709753868
66.52,221.70218407168502,0.0001607011768245088
66.53,221.65719158614036,0.00016049135884881822
66.54,221.6121992402225,0.00016028177295978902
66.55,221.56720703393083,0.00016007241894689314
66.56,221.5222149672647,0.00015986329659975162
66.57000000000002,221.47722304022335,0.00015965440570813458
66.58,221.4322312528064,0.00015944574606196208
66.59,221.38723960501287,0.00015923731745130155
66.6,221.3422480968423,0.00015902911966637082
66.61,221.297256728294,0.00015882115249753615
66.62,221.25226549936733,0.00015861341573531252
66.63,221.20727441006161,0.0001584059091703636
66.64,221.16228346037627,0.00015819863259350193
66.65,221.11729265031053,0.00015799158579568804
66.66,221.07230197986388,0.00015778476856803176
66.67,221.02731144903555,0.00015757818070179076
66.68,220.98232105782498,0.00015737182198837115
66.69,220.93733080623144,0.00015716569221932748
66.7,220.89234069425436,0.00015695979118636233
66.71000000000001,220.84735072189304,0.00015675411868132637
66.72,220.80236088914685,0.0001565486744962186
66.73,220.75737119601513,0.00015634345842318538
66.74,220.71238164249723,0.00015613847025452147
66.75,220.6673922285925,0.00015593370978266914
66.76,220.6224029543003,0.00015572917680021882
66.77,220.57741381962,0.0001555248710999082
66.78,220.53242482455084,0.00015532079247462205
66.79,220.48743596909233,0.00015511694071739402
66.8,220.44244725324376,0.0001549133156214042
66.81,220.3974586770044,0.0001547099169799797
66.82000000000002,220.35247024037366,0.00015450674458659572
66.83,220.30748194335092,0.00015430379823487458
66.84,220.26249378593553,0.00015410107771858544
66.85,220.2175057681268,0.0001538985828316443
66.86,220.1725178899241,0.0001536963133681146
66.87,220.12753015132677,0.0001534942691222062
66.88,220.08254255233413,0.00015329244988827612
66.89,220.03755509294564,0.00015309085546082846
66.9,219.9925677731605,0.00015288948563451266
66.91,219.94758059297817,0.00015268834020412656
66.92,219.90259355239795,0.00015248741896461304
66.93,219.85760665141925,0.00015228672171106248
66.94,219.81261989004133,0.00015208624823871052
66.95,219.7676332682636,0.00015188599834294012
66.96000000000001,219.72264678608536,0.0001516859718192798
66.97,219.67766044350608,0.0001514861684634048
66.98,219.63267424052498,0.00015128658807113553
66.99,219.5876881771415,0.00015108723043843954
67.0,219.54270225335483,0.00015088809536142867
67.01,219.49771646916457,0.00015068918263636292
67.02,219.45273082456987,0.00015049049205964572
67.03,219.40774531957015,0.00015029202342782758
67.04,219.36275995416474,0.00015009377653760417
67.05,219.31777472835304,0.00014989575118581672
67.06,219.2727896421344,0.0001496979471694522
67.07000000000002,219.2278046955081,0.00014950036428564237
67.08,219.1828198884736,0.00014930300233166504
67.09,219.13783522103012,0.00014910586110494236
67.1,219.09285069317704,0.00014890894040304228
67.11,219.04786630491375,0.00014871224002367775
67.12,219.00288205623963,0.00014851575976470677
67.13,218.95789794715392,0.00014831949942413183
67.14,218.9129139776561,0.0001481234588001011
67.15,218.86793014774545,0.00014792763769090682
67.16,218.82294645742138,0.00014773203589498615
67.17,218.77796290668317,0.00014753665321092093
67.18,218.7329794955301,0.00014734148943743697
67.19,218.6879962239617,0.00014714654437340612
67.2,218.64301309197722,0.0001469518178178429
67.21000000000001,218.59803009957594,0.00014675730956990676
67.22,218.55304724675747,0.00014656301942890266
67.23,218.5080645335209,0.00014636894719427746
67.24,218.46308195986563,0.0001461750926656235
67.25,218.41809952579104,0.00014598145564267696
67.26,218.37311723129653,0.0001457880359253184
67.27,218.32813507638136,0.00014559483331357123
67.28,218.28315306104497,0.00014540184760760381
67.29,218.2381711852866,0.00014520907860772703
67.3,218.19318944910577,0.00014501652611439693
67.31,218.14820785250163,0.00014482418992821125
67.32000000000002,218.1032263954736,0.00014463206984991294
67.33,218.0582450780212,0.0001444401656803881
67.34,218.01326390014353,0.00014424847722066495
67.35,217.96828286184012,0.00014405700427191665
67.36,217.92330196311013,0.00014386574663545777
